word,mean_likeness,std_likeness
durar,2.2,0.4472
conflicto,1.1667,0.4082
descripción,2,0
rico,3,0
brillar,3,0
aeropuerto,2.2,0.4472
aprovechar,2.4,0.5477
the,2,0
viejo,1.8,0.4472
constante,2.2,0.8367
biografía,2.3333,0.5164
silla,2.1667,0.4082
dicha,2.8333,0.4082
justo,2.6667,0.5164
coordenada,2,0
negocio,2.1667,0.7528
visión,2,0
ultimar,1.6667,0.5164
mejor,2.6667,0.5164
local,2.1667,0.4082
participación,2.6667,0.5164
justicia,2.8333,0.4082
gobernar,2.4,0.5477
pintar,2.8,0.4472
diente,2,0
interesar,2.6,0.5477
aparición,2,0.7071
localizar,2.4,0.5477
técnico,2.4,0.5477
artístico,2.6,0.5477
convencer,2,0
particular,2,0
asustar,1.2,0.4472
hábitat,2.2,0.4472
enemigo,1.2,0.4472
mezclar,2.2,0.4472
requerir,2,0
literario,2.8,0.4472
primavera,2.8,0.4472
escalera,2.2,0.4472
médico,2,0.7071
colección,2.2,0.4472
instrumento,2.4,0.5477
intenso,2.4,0.5477
quizá,2.2,0.4472
carga,1.8,0.4472
vehículo,2.2,0.4472
invadir,1.2,0.4472
ocultar,1.8,0.4472
dejo,2,0.7071
referencia,2.2,0.4472
secretario,2,0.7071
humanidad,2.8,0.4472
comentar,2.4,0.5477
actuación,2.4,0.8944
guardia,2.2,0.4472
dibujar,3,0
destinar,2.2,0.4472
escenario,2.4,0.5477
combate,1.4,0.5477
visita,2.4,0.5477
hambre,1,0
alimento,2.8,0.4472
femenino,3,0
quemar,2.2,0.4472
doble,2.2,0.4472
ingresar,2.4,0.5477
asesinar,1.6,0.8944
academia,2,0.7071
regalo,2.8,0.4472
probablemente,2.2,0.4472
